iter	Logloss
0	0.6724961381
1	0.6525588564
2	0.6332942738
3	0.616991892
4	0.6020471117
5	0.5879648193
6	0.5743271983
7	0.5615183112
8	0.5490824215
9	0.5379800617
10	0.5280156411
11	0.5176819439
12	0.5075106404
13	0.4985793244
14	0.4904517732
15	0.4838547858
16	0.4770130073
17	0.4694945215
18	0.4630704772
19	0.4569088475
20	0.4521672772
21	0.44737809
22	0.4427436799
23	0.4390463088
24	0.4350490391
25	0.430563044
26	0.4265068648
27	0.4231158225
28	0.4199032754
29	0.4176928606
30	0.4153080349
31	0.4125080653
32	0.4097753203
33	0.407343589
34	0.4050501271
35	0.4019915263
36	0.399841628
37	0.3981333954
38	0.3958693082
39	0.3937177829
40	0.3918283593
41	0.3899200313
42	0.3885277919
43	0.386570957
44	0.3851510833
45	0.3835499538
46	0.3818898013
47	0.3807828869
48	0.3792140684
49	0.3781744075
50	0.3771966908
51	0.3758223457
52	0.3746814971
53	0.3734862372
54	0.3720388066
55	0.3710111922
56	0.3696987851
57	0.3686442838
58	0.3676868879
59	0.3663988745
60	0.3653985491
61	0.3644498121
62	0.3637768061
63	0.362620835
64	0.3619405875
65	0.360925184
66	0.3600438627
67	0.3592845809
68	0.3584849533
69	0.3578238427
70	0.3567079594
71	0.3557533249
72	0.3548841062
73	0.3543034594
74	0.3535038837
75	0.3528868005
76	0.3524260692
77	0.3517772838
78	0.3508275458
79	0.3499963765
80	0.3492241389
81	0.3484140494
82	0.3478465668
83	0.3472847214
84	0.3463920271
85	0.3456824249
86	0.344929215
87	0.344016404
88	0.3434358259
89	0.3429996318
90	0.3424459583
91	0.3417188789
92	0.3408406555
93	0.3402077289
94	0.3394445525
95	0.3387724067
96	0.3381498379
97	0.3375119306
98	0.3371383826
99	0.3361646777
100	0.3358372306
101	0.335353651
102	0.3346029264
103	0.3343966373
104	0.3337964395
105	0.3329963723
106	0.3323219444
107	0.3313988347
108	0.3306992481
109	0.3299464151
110	0.3295184234
111	0.3293214219
112	0.3288445036
113	0.3282711537
114	0.3276048576
115	0.3271044929
116	0.3266957498
117	0.3262248797
118	0.3258410549
119	0.3254630046
120	0.3248042267
121	0.3241066014
122	0.3235725623
123	0.3233292729
124	0.3226286442
125	0.322403955
126	0.321867624
127	0.321527734
128	0.3212419647
129	0.3207746064
130	0.320504904
131	0.3198764228
132	0.3193699951
133	0.3190089597
134	0.3184232643
135	0.3178454404
136	0.3173076744
137	0.3167136704
138	0.3162879194
139	0.3157421064
140	0.315476014
141	0.3150615964
142	0.3146434159
143	0.3144013332
144	0.3140364406
145	0.3135901936
146	0.3130475816
147	0.3125514632
148	0.3120288244
149	0.3116518453
150	0.3112459436
151	0.3109827374
152	0.3106847225
153	0.3102188815
154	0.3099770595
155	0.3095388552
156	0.3091697739
157	0.3087347847
158	0.3083572167
159	0.3079806069
160	0.3077588311
161	0.3074149432
162	0.3070067745
163	0.3064785112
164	0.3061195111
165	0.3057291808
166	0.305489391
167	0.3051588443
168	0.3046571008
169	0.3045006321
170	0.3042367301
171	0.3033547116
172	0.3030174253
173	0.302844275
174	0.3024007209
175	0.3021950602
176	0.3018989268
177	0.3014487607
178	0.3010538648
179	0.3005987031
180	0.3002814355
181	0.3001261798
182	0.2997004895
183	0.2992707535
184	0.2990786479
185	0.2987421931
186	0.2978581637
187	0.2973832767
188	0.2969458747
189	0.2966946409
190	0.2963474613
191	0.2959165319
192	0.2952858646
193	0.2951176394
194	0.294906141
195	0.2945530266
196	0.2941283282
197	0.2936603684
198	0.2934670376
199	0.2931483504
200	0.292833563
201	0.2925439642
202	0.2921862255
203	0.2918712253
204	0.2915465346
205	0.2910978267
206	0.290684905
207	0.2903598096
208	0.2901602688
209	0.2897956611
210	0.2894031576
211	0.2891987093
212	0.2887340701
213	0.2883156219
214	0.2880730718
215	0.2874411847
216	0.2872395589
217	0.2868680297
218	0.2865044833
219	0.2862184167
220	0.2859802997
221	0.2856815289
222	0.2853077494
223	0.2849826659
224	0.2844026975
225	0.2839149696
226	0.2833249881
227	0.2830327993
228	0.2826459537
229	0.2821874787
230	0.2818399515
231	0.2816738761
232	0.2813749281
233	0.2810060443
234	0.2805631848
235	0.2802818622
236	0.2798759367
237	0.2795105433
238	0.2791361942
239	0.2789039678
240	0.2786571612
241	0.2783769299
242	0.2779822315
243	0.2775013303
244	0.2769329517
245	0.2765749911
246	0.276075942
247	0.2755922259
248	0.2751958512
249	0.2749597056
250	0.2748292132
251	0.2744342534
252	0.2740835979
253	0.2738808791
254	0.2736590021
255	0.2733375073
256	0.2730104637
257	0.2725720259
258	0.272403476
259	0.2720734608
260	0.2717295018
261	0.2713694022
262	0.2709166718
263	0.270492612
264	0.2702072615
265	0.2699105031
266	0.2694844777
267	0.2690493529
268	0.2689150603
269	0.2685716221
270	0.2683297374
271	0.2679357516
272	0.267742875
273	0.2672473681
274	0.2668221595
275	0.2664845659
276	0.2660424365
277	0.2655680206
278	0.2651653821
279	0.2648767215
280	0.2646848477
281	0.2644379838
282	0.2638829136
283	0.2637044801
284	0.2633725387
285	0.2629814706
286	0.2626171651
287	0.262247123
288	0.261938187
289	0.2616539679
290	0.2612283805
291	0.2607795425
