feature,pearson,pearson_signed,spearman,spearman_signed,chatterjee,chatterjee_ties,n_valid,nonlinear_score,chatterjee_vs_spearman,composite_score
Speed_x_Agility,0.24728919826938434,0.24728919826938434,0.24549533557781006,0.24549533557781006,0.4001704543799949,-0.9019298245614036,1758,0.15288125611061054,0.15467511880218482,0.3079035419061563
Power_x_Speed,0.235046234896008,0.235046234896008,0.23602340565817728,0.23602340565817728,0.39504703520982454,-0.8338395294298566,2120,0.16000080031381653,0.15902362955164726,0.2993397062501854
BMI_x_Speed,0.2769485287299446,0.2769485287299446,0.27393946621602167,0.27393946621602167,0.36665393009565383,-0.7407051418969912,2636,0.08970540136570926,0.09271446387963217,0.31192797052205146
Weight_x_Vertical,0.18694026224674537,0.18694026224674537,0.18044522779689814,0.18044522779689814,0.3554107366668764,-0.9045788770053476,2227,0.16847047442013102,0.17496550886997825,0.2523799416798436
Height_x_Weight,0.07039388776276959,0.07039388776276959,0.07060327353983044,0.07060327353983044,0.30690390175278903,-0.8680840453159697,2781,0.23651001399001945,0.2363006282129586,0.16506070909189563
Age_Year_Diff,0.12778205491331782,-0.12778205491331782,0.12434789880865513,-0.12434789880865513,0.45460348146660934,-2.2956709628756164,2346,0.3268214265532915,0.3302555826579542,0.25748037870323565
Bench_per_Weight,0.10990368176118566,0.10990368176118566,0.10622595310927281,0.10622595310927281,0.33883479565340646,-0.958695738678607,2060,0.22893111389222082,0.23260884254413366,0.20037280872250013
Jump_Efficiency,0.004862957129888798,-0.004862957129888798,0.0027551146383862995,-0.0027551146383862995,0.3422755299628196,-0.95504563352767,2162,0.3374125728329308,0.33952041532443333,0.13919563351561037
Sprint_Efficiency,0.2599189817938236,0.2599189817938236,0.2479204046177652,0.2479204046177652,0.37348245915122624,-0.7219374314722258,2636,0.11356347735740263,0.12556205453346103,0.30174479958396716
Height_Pos_Z,0.031166665331197455,0.031166665331197455,0.024868841554859314,0.024868841554859314,0.36192009009614734,-0.7198003312130679,2781,0.3307534247649499,0.33705124854128804,0.16157868810427597
Height_Pos_Diff,0.01881585357796176,0.01881585357796176,0.017767881024878543,0.017767881024878543,0.3538294741633006,-0.7416067597576121,2781,0.3350136205853388,0.33606159313842204,0.1525069100461723
Height_Type_Z,0.04457885282966313,0.04457885282966313,0.03694319002192197,0.03694319002192197,0.32254575922295947,-0.8259249501298507,2781,0.27796690639329635,0.2856025692010375,0.15347491654465933
Weight_Pos_Z,0.06276087811875719,0.06276087811875719,0.047764822332245195,0.047764822332245195,0.3435813606483612,-0.7692282359140352,2781,0.280820482529604,0.295816538316116,0.1705902543946452
Weight_Pos_Diff,0.0543865697289411,0.0543865697289411,0.0437302874124014,0.0437302874124014,0.33063637515580635,-0.8041185215853062,2781,0.2762498054268653,0.286906087743405,0.16168960720472528
Weight_Type_Z,0.06255297398220748,0.06255297398220748,0.05928689211995748,0.05928689211995748,0.3079826505438352,-0.8651765215100304,2781,0.24542967656162773,0.24869575842387776,0.15974502004818358
Sprint_40yd_Pos_Z,0.3049406284401907,-0.3049406284401907,0.2963836364341374,-0.2963836364341374,0.4096773343334451,-0.6212277091906722,2635,0.1047367058932544,0.11329369789930771,0.34426821319567646
Sprint_40yd_Pos_Diff,0.279853211946386,-0.279853211946386,0.28512147068985505,-0.28512147068985505,0.3916918699660862,-0.6718902036728513,2636,0.11183865801970017,0.10657039927623113,0.32616915277730685
Sprint_40yd_Type_Z,0.25283774759760225,-0.25283774759760225,0.25061865144032364,-0.25061865144032364,0.3831562086466206,-0.6953498417038082,2636,0.13031846104901834,0.13253755720629695,0.30429940317002596
